"servicioId","analisisId","soaControlId","controlCodigo","riesgoCodigo","puntaje","prioridad","estado","senales","decisiones","versionMotor"
"902001","30001","30007","A.5.15","R-ORG01-A2","60","ALTA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_NO_INICIADO|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902001","30002","30008","A.5.16","R-ORG01-A3","70","ALTA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_ALTO|HALLAZGO_ABIERTO|BRECHA_FORMACION","REVISAR_EVIDENCIA|TRATAR_RIESGO|CAPACITACION","RPM-DETERMINISTA-1.0"
"902001","30003","30009","A.5.17","R-ORG01-C2","100","CRITICA","PENDIENTE_VALIDACION","CONTROL_NO_EFECTIVO|RIESGO_CRITICO|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|BRECHA_FORMACION|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902001","30004","30010","A.5.18","R-ORG01-C3","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_ALTO|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|CONTROL_PLANIFICADO|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902001","30005","30011","A.5.19","R-ORG01-M3","27","MEDIA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|HALLAZGO_ABIERTO|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902001","30006","30016","A.5.23","R-ORG01-B2","13","BAJA","PENDIENTE_VALIDACION","APLICABILIDAD_PENDIENTE|RELEVANCIA_CONTEXTUAL","MONITOREAR","RPM-DETERMINISTA-1.0"
"902001","30007","30017","A.5.24","R-ORG01-A1","64","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|CONTROL_PARCIAL|SIN_EVIDENCIA|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902001","30008","30040","A.6.3","R-ORG01-C1","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_PARCIAL|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|BRECHA_FORMACION|AVANCE_INSUFICIENTE|RELEVANCIA_CONTEXTUAL","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902001","30009","30064","A.8.13","R-ORG01-B3","14","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902001","30010","30065","A.8.14","R-ORG01-M1","26","MEDIA","PENDIENTE_VALIDACION","CONTROL_PARCIAL|RIESGO_MEDIO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902001","30011","30067","A.8.16","R-ORG01-B1","0","BAJA","PENDIENTE_VALIDACION","","MONITOREAR","RPM-DETERMINISTA-1.0"
