codigo|dominio|titulo|descripcion|pregunta|etiquetas
A.5.1|Organizacional|Gobierno de políticas|establecer y mantener políticas de seguridad de la información|¿La organización ha definido, implementado, documentado y revisado medidas para establecer y mantener políticas de seguridad de la información?|gobierno,politicas
A.5.2|Organizacional|Roles de seguridad|asignar responsabilidades y autoridades de seguridad|¿La organización ha definido, implementado, documentado y revisado medidas para asignar responsabilidades y autoridades de seguridad?|gobierno,personas
A.5.3|Organizacional|Separación de funciones|separar tareas incompatibles y reducir conflictos o fraude|¿La organización ha definido, implementado, documentado y revisado medidas para separar tareas incompatibles y reducir conflictos o fraude?|gobierno,fraude
A.5.4|Organizacional|Responsabilidades de dirección|asegurar que la dirección exija el cumplimiento de las reglas de seguridad|¿La organización ha definido, implementado, documentado y revisado medidas para asegurar que la dirección exija el cumplimiento de las reglas de seguridad?|gobierno,personas
A.5.5|Organizacional|Relación con autoridades|mantener contactos apropiados con autoridades competentes|¿La organización ha definido, implementado, documentado y revisado medidas para mantener contactos apropiados con autoridades competentes?|legal,incidentes
A.5.6|Organizacional|Relación con comunidades especializadas|participar en redes y grupos de interés de seguridad|¿La organización ha definido, implementado, documentado y revisado medidas para participar en redes y grupos de interés de seguridad?|amenazas,gobierno
A.5.7|Organizacional|Inteligencia de amenazas|recopilar y analizar información sobre amenazas relevantes|¿La organización ha definido, implementado, documentado y revisado medidas para recopilar y analizar información sobre amenazas relevantes?|amenazas,monitoreo
A.5.8|Organizacional|Seguridad en proyectos|integrar requisitos de seguridad en la gestión de proyectos|¿La organización ha definido, implementado, documentado y revisado medidas para integrar requisitos de seguridad en la gestión de proyectos?|proyectos,desarrollo
A.5.9|Organizacional|Inventario de información y activos|identificar propietarios, ubicación y criticidad de activos|¿La organización ha definido, implementado, documentado y revisado medidas para identificar propietarios, ubicación y criticidad de activos?|activos,datos_sensibles
A.5.10|Organizacional|Uso aceptable de activos|definir reglas de uso y manejo de información y recursos|¿La organización ha definido, implementado, documentado y revisado medidas para definir reglas de uso y manejo de información y recursos?|activos,personas
A.5.11|Organizacional|Devolución de activos|recuperar activos cuando cambian o terminan relaciones laborales o contractuales|¿La organización ha definido, implementado, documentado y revisado medidas para recuperar activos cuando cambian o terminan relaciones laborales o contractuales?|activos,personas
A.5.12|Organizacional|Clasificación de información|clasificar información según sensibilidad, valor y requisitos|¿La organización ha definido, implementado, documentado y revisado medidas para clasificar información según sensibilidad, valor y requisitos?|datos_sensibles,privacidad
A.5.13|Organizacional|Marcado de información|aplicar etiquetas coherentes con la clasificación de información|¿La organización ha definido, implementado, documentado y revisado medidas para aplicar etiquetas coherentes con la clasificación de información?|datos_sensibles,privacidad
A.5.14|Organizacional|Transferencia de información|proteger intercambios internos y externos de información|¿La organización ha definido, implementado, documentado y revisado medidas para proteger intercambios internos y externos de información?|datos_sensibles,terceros,criptografia
A.5.15|Organizacional|Control de acceso|establecer reglas de acceso físico y lógico según necesidad y riesgo|¿La organización ha definido, implementado, documentado y revisado medidas para establecer reglas de acceso físico y lógico según necesidad y riesgo?|acceso,identidad
A.5.16|Organizacional|Gestión de identidades|administrar el ciclo de vida de identidades de usuarios y servicios|¿La organización ha definido, implementado, documentado y revisado medidas para administrar el ciclo de vida de identidades de usuarios y servicios?|identidad,acceso
A.5.17|Organizacional|Información de autenticación|proteger contraseñas, llaves, tokens y otros secretos de autenticación|¿La organización ha definido, implementado, documentado y revisado medidas para proteger contraseñas, llaves, tokens y otros secretos de autenticación?|identidad,acceso,criptografia
A.5.18|Organizacional|Derechos de acceso|aprobar, revisar y retirar permisos de acceso oportunamente|¿La organización ha definido, implementado, documentado y revisado medidas para aprobar, revisar y retirar permisos de acceso oportunamente?|identidad,acceso
A.5.19|Organizacional|Seguridad con proveedores|gestionar riesgos de seguridad asociados con proveedores y terceros|¿La organización ha definido, implementado, documentado y revisado medidas para gestionar riesgos de seguridad asociados con proveedores y terceros?|proveedores,terceros
A.5.20|Organizacional|Seguridad en acuerdos con proveedores|incorporar requisitos de seguridad en contratos y acuerdos|¿La organización ha definido, implementado, documentado y revisado medidas para incorporar requisitos de seguridad en contratos y acuerdos?|proveedores,legal
A.5.21|Organizacional|Cadena de suministro TIC|gestionar riesgos de productos y servicios dentro de la cadena de suministro tecnológica|¿La organización ha definido, implementado, documentado y revisado medidas para gestionar riesgos de productos y servicios dentro de la cadena de suministro tecnológica?|proveedores,nube,desarrollo
A.5.22|Organizacional|Seguimiento de proveedores|revisar servicios, cambios y desempeño de seguridad de proveedores|¿La organización ha definido, implementado, documentado y revisado medidas para revisar servicios, cambios y desempeño de seguridad de proveedores?|proveedores,monitoreo
A.5.23|Organizacional|Uso seguro de servicios en la nube|gobernar la adquisición, uso, cambio y salida de servicios cloud|¿La organización ha definido, implementado, documentado y revisado medidas para gobernar la adquisición, uso, cambio y salida de servicios cloud?|nube,proveedores
A.5.24|Organizacional|Preparación para incidentes|definir roles, procesos y capacidades para gestionar incidentes|¿La organización ha definido, implementado, documentado y revisado medidas para definir roles, procesos y capacidades para gestionar incidentes?|incidentes,continuidad
A.5.25|Organizacional|Evaluación de eventos de seguridad|analizar eventos y decidir si constituyen incidentes|¿La organización ha definido, implementado, documentado y revisado medidas para analizar eventos y decidir si constituyen incidentes?|incidentes,monitoreo
A.5.26|Organizacional|Respuesta a incidentes|contener, resolver y comunicar incidentes de seguridad|¿La organización ha definido, implementado, documentado y revisado medidas para contener, resolver y comunicar incidentes de seguridad?|incidentes,continuidad
A.5.27|Organizacional|Aprendizaje de incidentes|usar lecciones aprendidas para evitar recurrencias|¿La organización ha definido, implementado, documentado y revisado medidas para usar lecciones aprendidas para evitar recurrencias?|incidentes,memoria
A.5.28|Organizacional|Recolección de evidencia|preservar evidencia con integridad y cadena de custodia|¿La organización ha definido, implementado, documentado y revisado medidas para preservar evidencia con integridad y cadena de custodia?|incidentes,evidencia,legal
A.5.29|Organizacional|Seguridad durante interrupciones|mantener protección de información durante situaciones adversas|¿La organización ha definido, implementado, documentado y revisado medidas para mantener protección de información durante situaciones adversas?|continuidad,servicio_critico
